title,heading,content
hak asuh anak,definisi hak asuh anak,"Hak asuh anak merupakan suatu kewajiban orang tua untuk memberikan pelayanan, melindungi, mendidik, dan mengasuh anak hingga dewasa, baik dalam masa ikatan perkawinan atau orang tua yang sudah cerai atau putus perkawinan. Hak asuh anak ini telah diatur dalam Undang-Undang perlindungan anak No 23 tahun 2020 pasal 14, yang menyatakan bahwa ""Setiap anak berhak untuk diasuh oleh orang tuanya sendiri, kecuali jika ada alasan dan/atau aturan hukum yang sah menunjukkan bahwa pemisahan itu adalah demi kepentingan terbaik bagi anak dan merupakan pertimbangan terakhir""."
hak asuh anak,definisi hak asuh anak,"Hak asuh anak terdiri dari hak asuh hukum, yaitu hak untuk mengambil keputusan tentang anak, dan hak asuh fisik, yaitu hak dan kewajiban untuk mengasuh anak. Hak asuh fisik akan menetapkan seorang anak tinggal di mana dan siapa yang memutuskan masalah sehari-hari mengenai anak tersebut. Jika orang tua memiliki hak asuh fisik atas seorang anak, maka rumah orang tua tersebut akan menjadi tempat tinggal resmi anak tersebut (domisili)."
hak asuh anak,putusan hak asuh anak,"Ketentuan kepada siapa hak asuh anak didapatkan sudah diatur dalam Putusan Nomor 55/Pdt.G/2012/Ms-Bna menyatakan hak asuh anak akan diberikan kepada ayah dan ibu, Putusan Nomor 65/Pdt.G/2011/MS-Bna dan 66/Pdt.G/2012/MS-Bna menyatakan hak asuh anak akan diberikan kepada ayah, dan Putusan Nomor 225/Pdt.G/2009/MS-BNA dan Nomor 261/Pdt.G/2010/MS-BNA menyatakan bahwa hak asuh anak akan diberikan kepada ibu."
hak asuh anak,Hak asuh anak dalam Islam,"Menurut buku Syekh Wahbah Az-Zuhai, al-Fiqh al-Islamu wa Adillatuhu, jilid 10 hal 7245, menyatakan bahwa terdapat 5 jenis hak penting yang harus didapatkan anak, yaitu hak persusuan, hak pengasuhan, hak nafkah, hak nasab, dan hak perwalian. 
Dari kelima hak tersebut, yang paling relevan dan banyak persimpangan yaitu pada hak pengasuhan, karena banyak sekali kasus perceraian dalam pernikahan. Hal tersebut berdampak sekali terhadap pemeliharaan, pendidikan, pertumbuhan, dan pengasuhan terhadap anak. Dalam Islam, istilah pengasuhan kerap disebut dengan hadhanah. Tujuan dari adanya hadhanah tersebut yaitu untuk mengatur tanggung jawab anak yang berhubungan dengan pendidikan, kehidupan, dan pertumbuhan anak setelah orang tuanya berpisah atau bercerai. Jika dalam hal perceraian tersebut hingga membuat anak terlantar dan tidak mendapatkan pengasuhan, maka anak tersebut mendapatkan kezaliman oleh orang tuanya.
Dalam Islam dijelaskan bahwa ibu lebih berhak atas pengasuhan anaknya daripada ayah karena kasih sayang luas serta kesabaran yang lebih besar dalam menanggung beban yang menyangkut pendidikan dan pengasuhan. Kemudian ibu memiliki perlakuan lebih lembut dalam menjaga dan mengasuh serta lebih mampu mencurahkan perasaan kasih sayang."
hak asuh anak,Syarat-syarat permohonan hak asuh,"Terdapat beberapa syarat dan prosedur yang harus dipenuhi ketika orang tua akan melakukan permohonan terhadap hak asuh anak, ke pengadilan negeri dan pengadilan agama. syarat yang di butuhkan, meliputi:
- surat pengajuan permohonan hak asuh ke pengadilan
- Fotocopy akta cerai
- Fotocopy akta anak
- dan Biaya Perkara"
hak asuh anak,Syarat-syarat penetapan hak asuh anak,"PERSYARATAN PENETAPAN HAK ASUH ANAK :
1. Anak Harus Punya Akte Kelahiran Dari Orang Tua Asli.
2. Pemohon Harus Sudah Pernah Mengasuh Anak Minimal 6 Bulan.
3. Melampirkan KK, KTP Orang Tua Asli (suami & Istri) dan KK, KTP Pemohon (suami & Istri).
4. Harus Mendapatkan Rekomendari Dari Dinas Sosial.
5. Melampirkan SKCK Dari Kepolisian bagi Pemohon (suami & Istri).
6. Melampirkan Surat Keterangan Sehat Dari Dokter (suami & Istri).

KETERANGAN :
• Bukti Asli Dibawa Semua
• Bukti 1, 3, 4, 5, 6 Foto Copy Dan Semua Di Segel / Dimeteraikan Di Kantor Pos.
• Foto Copy Ktp (Kartu Tanda Penduduk) 2 (Dua) Orang Saksi.
• Surat Permohonan Rangkap 2 (Dua) Asli Bermeterai Rp.6000,-
• Membebankan biaya permohonan ini kepada Pemohon sebesar Rp 256.000,00"
hak asuh anak,Penyebab Terjadinya Hak Asuh Anak,"Munculnya topik seputar hak asuh atas anak memang umumnya disebabkan karena terjadinya perceraian antara kedua orang tua anak tersebut. Sebagai orang tua, tentu keduanya ingin memperoleh hak asuh atas buah hati mereka. Jika hak asuh atas buah hatinya didapatkan, maka baik ayah atau ibu, berhak untuk tinggal bersama dengan si anak dan mengasuhnya.
Pihak yang akan mendapatkan hak asuh atas anak pun tak mutlak si ibunya. Ada beberapa kemungkinan atau hal yang membuat ayah bisa mendapatkan hak asuh atas anaknya yang masih di bawah umur. Seorang ayah tak mendapatkan hak asuh atas anaknya pun, tetap memiliki kewajiban penuh untuk menafkahi buah hatinya tersebut.
Dalam beberapa kasus tertentu, ada juga kemungkinan yang mendapatkan hak asuh atas anak adalah keluarga anak dalam garis lurus ke atas. Saudara kandung anak yang sudah berusia dewasa pun juga memiliki hak untuk mengasuh anak tersebut. Namun, pemberian hak asuh ini hanya jika kedua orang tua memang terbukti tak mampu mengasuh anaknya menurut pandangan majelis hakim. Mengenal Macam Pembagian hak Asuh Anak Mnurut Perundang-Undangan."
hak asuh anak,Hak Asuh Anak dalam Perceraian,"Selanjutnya dikenal pula istilah kuasa asuh, yakni kekuasaan orang tua untuk mengasuh, mendidik, memelihara, membina, melindungi, dan menumbuhkembangkan anak sesuai dengan agama yang dianutnya dan sesuai dengan kemampuan, bakat, serta minatnya.
Adapun salah satu masalah yang sering muncul dari perceraian adalah mengenai hak asuh anak. Siapa yang paling berhak atas hak asuh anak jika perkawinan orang tua putus karena perceraian?
Mengacu bunyi Pasal 45 ayat (2) UU Perkawinan di atas mengindikasikan bahwa kasih sayang orang tua terhadap anak tidak boleh diputus ataupun dihalang-halangi. Adanya penguasaan anak secara formil oleh salah satu pihak pada hakikatnya untuk mengakhiri sengketa perebutan anak. Apabila sengketa itu tidak diputus di pengadilan, akan menjadi berlarut-larut, sehingga dampaknya anak menjadi korban, walaupun harus diakui juga bahwa banyak sekali yang tidak mempersoalkan hak asuh anak setelah proses perceraian karena keduanya sepakat mengasuh dan mendidik anak bersama-sama."
hak asuh anak,Hak Asuh Anak dalam Perceraian,"Hal ini sejalan dengan Pasal 41 UU Perkawinan yang mengatur akibat putusnya perkawinan karena perceraian ialah:

Baik ibu atau bapak tetap berkewajiban memelihara dan mendidik anak-anaknya, semata-mata berdasarkan kepentingan anak; bilamana ada perselisihan mengenai penguasaan anak-anak, Pengadilan memberi keputusannya;
Bapak yang bertanggung jawab atas semua biaya pemeliharaan dan pendidikan yang diperlukan anak itu; bilamana bapak dalam kenyataan tidak dapat memenuhi kewajiban tersebut, Pengadilan dapat menentukan bahwa ibu ikut memikul biaya tersebut;
Pengadilan dapat mewajibkan kepada bekas suami untuk memberikan biaya penghidupan dan/atau menentukan sesuatu kewajiban bagi bekas isteri."
hak asuh anak,Hak Asuh Anak dalam Perceraian,"Mengenai hak asuh anak, UU Perkawinan tidak mengatur secara khusus siapa yang berhak mendapatkan hak asuh atas anak yang belum berusia 12 tahun. Melainkan hanya mengatur hak asuh anak pasca bercerai, kedua belah pihak tetap wajib memelihara dan mendidik anak-anaknya dan jika ada perselisihan hak asuh anak, Pengadilan yang akan memberi keputusannya."
hak asuh anak,Putusan Mahkamah Agung Nomor 102 K/Sip/1973 tanggal 24 April 1975,Peraturan mengenai hak asuh anak dalam perceraian lainnya ada di dalam Putusan Mahkamah Agung Nomor 102 K/Sip/1973 tanggal 24 April 1975. Dalam putusan ini juga dikatakan bahwa dalam penentuan pemberian hak asuh anak dalam perceraian haruslah mengutamakan ibu kandung. Terlebih lagi untuk hak asuh anak yang masih di bawah umur atau 12 tahun kebawah. Hal ini ditetapkan dengan melihat kepentingan anak yang membutuhkan sosok ibu.
hak asuh anak,Putusan Mahkamah Agung Nomor 102 K/Sip/1973 tanggal 24 April 1976,"Meski begitu, pemberian hak asuh anak kepada sang ayah juga bisa saja terjadi dalam perceraian. Pasal 156 huruf (c) KHI menjelaskan bahwa seorang ibu bisa kehilangan hak asuh anak sekalipun masih berusia di bawah 12 tahun apabila ia tidak dapat menjamin keselamatan jasmani dan rohani anak. Bila demikian, atas permintaan kerabat yang bersangkutan, Pengadilan Agama dapat memindahkan hak asuh pada kerabat lain."
hak asuh anak,Hak Asuh Anak Menurut KHI,"Sedangkan dalam hukum Islam, aturan hak asuh anak yang perceraian orang tuanya diputus oleh Pengadilan Agama tercantum di Pasal 105 KHI yang menyatakan:
Dalam hal terjadinya perceraian:
a. Pemeliharaan anak yang belum mumayyiz atau belum berumur 12 tahun adalah hak ibunya;
b. Pemeliharaan anak yang sudah mumayyiz diserahkan kepada anak untuk memilih di antara ayah atau ibunya sebagai pemegang hak pemeliharaannya;
c. Biaya pemeliharaan ditanggung oleh ayahnya."
LARA,LARA,Kamu adalah sebuah aplikasi chatbot yang menggunakan model bahasa GPT-3. LARA adalah nama aplikasi ini.
LARA,Apa itu LARA,"Saya adalah model bahasa AI yang dikembangkan menggunakan GPT oleh ROOT. Saya dilatih menggunakan jutaan teks  untuk membantu menjawab pertanyaan terkait hukum. Saya siap membantu Anda dengan apa yang Anda butuhkan, tanyakan apa saja yang ingin Anda tanyakan!"
UU RI NO. 1 1974,PERKAWINAN,UNDANG-UNDANG REPUBLIK INDONESIA NOMOR 1 TAHUN 1974 TENTANG PERKAWINAN
bab 1 - dasar perkawinan,pasal 1,"Pasal 1 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Perkawinan ialah ikatan lahir bathin antara seorang pria dengan seorang wanita sebagai suami isteri dengan tujuan membentuk keluarga (rumah tangga) yang bahagia dan kekal berdasarkan Ketuhanan Yang Mahaesa."
bab 1 - dasar perkawinan,pasal 2,"Pasal 2 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Perkawinan adalah sah, apabila dilakukan menurut hukum masing-masing agamanya dan kepercayaannya itu.
ayat (2) Tiap-tiap perkawinan dicatat menurut peraturan perundang-undangan yang berlaku."
bab 1 - dasar perkawinan,pasal 3,"Pasal 3 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Pada azasnya dalam suatu perkawinan seorang pria hanya boleh mempunyai seorang isteri. Seorang wanita hanya boleh mempunyai seorang suami.
ayat (2) Pengadilan, dapat memberi izin kepada seorang suami untuk beristeri lebih dari seorang apabila dikehendaki oleh pihak-pihak yang bersangkutan.
"
bab 1 - dasar perkawinan,pasal 4,"Pasal 4 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Dalam hal seorang suami akan beristeri lebih dari seorang, sebagaimana tersebut dalam Pasal 3 ayat (2) Undang-undang ini, maka ia wajib mengajukan permohonan kepada Pengadilan di daerah tempat tinggalnya.
ayat (2) Pengadilan dimaksud data ayat (1) pasal ini hanya memberikan izin kepada seorang suami yang akan beristeri lebih dari seorang apabila isteri tidak dapat menjalankan kewajibannya sebagai istri, istri mendapat cacat badan atau penyakit yang tidak dapat disembuhkan dan istri tidak dapat melahirkan keturunan.
 "
bab 1 - dasar perkawinan,pasal 5,"Pasal 5 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Untuk dapat mengajukan permohonan kepada Pengadilan, sebagaimana dimaksud dalam Pasal 4 ayat (1) Undang-undang ini, harus dipenuhi syarat-syarat sebagai berikut: a. adanya persetujuan dari isteri/isteri-isteri; b. adanya kepastian bahwa suami mampu menjamin keperluankeperluan hidup isteri-isteri dan anak-anak mereka;
c. adanya jaminan bahwa suami akan berlaku adil terhadap isteriisteri dan anak-anak mereka.
- ayat (2) Persetujuan yang dimaksud pada ayat (1) huruf a pasal ini tidak diperlukan bagi seorang suami apabila isteri/isteri-isterinya tidak mungkin dimintai persetujuannya dan tidak dapat menjadi pihak dalam perjanjian, atau apabila tidak ada kabar dari isterinya selama sekurang-kurangnya 2 (dua) tahun, atau karena sebab-sebab lainnya yang perlu mendapat penilaian dari Hakim Pengadilan."
bab 2 - syarat syarat perkawinan,pasal 6,"Pasal 6 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Perkawinan harus didasarkan atas persetujuan kedua calon mempelai.
ayat (2) Untuk melangsungkan perkawinan seorang yang belum mencapai umur 21 (duapuluh satu) tahun harus mendapat izin kedua orang tua.
ayat (3) Dalam hal salah seorang dari kedua orang tua telah meninggal dunia atau dalam keadaan tidak mampu menyatakan kehendaknya, maka izin dimaksud ayat (2) pasal ini cukup diperoleh dari orang tua yang masih hidup atau dari orang tua yang mampu menyatakan kehendaknya.
ayat (4) Dalam hal kedua orang tua telah meninggal dunia atau dalam keadaan tidak mampu untuk menyatakan kehendaknya, maka izin diperoleh dari wali, orang yang memelihara atau keluarga yang mempunyai hubungan darah dalam garis keturunan lurus keatas selama mereka masih hidup dan dalam keadaan dapat menyatakan kehendaknya. 
ayat (5) Dalam hal ada perbedaan pendapat antara orang-orang yang disebut dalam ayat (2), (3) dan (4) pasal ini, atau salah seorang atau lebih diantara mereka tidak menyatakan pendapatnya, maka Pengadilan dalam daerah hukum tempat tinggal orang yang akan melangsungkan perkawinan atas permintaan orang tersebut dapat memberikan izin setelah lebih dahulu mendengar orang-orang tersebut dalam ayat (2), (3) dan (4) pasal ini.
ayat (6) Ketentuan tersebut ayat (1) sampai dengan ayat (5) pasal ini berlaku sepanjang hukum masing-masing agamanya dan kepercayaannya itu dari yang bersangkutan tidak menentukan lain."
bab 2 - syarat syarat perkawinan,pasal 7,"Pasal 7 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Perkawinan hanya diizinkan jika pihak pria sudah mencapai umur 19 (sembilan belas) tahun dan pihak wanita sudah mencapai umur 16 (enam belas) tahun.
ayat (2) Dalam hal penyimpangan terhadap ayat (1) pasal ini dapat meminta dispensasi kepada Pengadilan atau Pejabat lain yang ditunjuk oleh kedua orang tua pihak pria maupun pihak wanita.
ayat (3) Ketentuan-ketentuan mengenai keadaan salah seorang atau kedua orang tua tersebut dalam Pasal 6 ayat (3) dan (4) Undang-undang ini, berlaku juga dalam hal permintaan dispensasi tersebut ayat (2) pasal ini dengan tidak mengurangi yang dimaksud dalam Pasal 6 ayat (6)."
bab 2 - syarat syarat perkawinan,pasal 8,"Pasal 8 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Perkawinan dilarang antara dua orang yang:\na. berhubungan darah dalam garis keturunan lurus kebawah ataupun keatas;\nb. berhubungan darah dalam garis keturunan menyamping yaitu antara saudara, antara seorang dengan saudara orang tua dan antara seorang dengan saudara neneknya;\nc. berhubungan semenda, yaitu mertua, anak tiri menantu dan ibu/bapak tiri;\nd. berhubungan susuan, yaitu orang tua susuan, anak susuan, saudara susuan dan bibi/paman susuan;/ne. berhubungan saudara dengan isteri atau sebagai bibi atau kemenakan dari isteri, dalam hal seorang suami beristeri lebih dari seorang;\nf. mempunyai hubungan yang oleh agamanya atau peraturan lain yang berlaku, dilarang kawin."
bab 2 - syarat syarat perkawinan,pasal 9,"Pasal 9 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Seorang yang masih terikat tali perkawinan dengan orang lain tidak dapat kawin lagi, kecuali dalam hal yang tersebut pada Pasal 3 ayat (2) dan Pasal 4 Undang-undang ini.
"
bab 2 - syarat syarat perkawinan,pasal 10,"Pasal 10 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Apabila suami dan isteri yang telah cerai kawin lagi satu dengan yang lain dan bercerai lagi untuk kedua kalinya, maka diantara mereka tidak boleh dilangsungkan perkawinan lagi, sepanjang hukum masing-masing agamanya dan kepercayaannya itu dari yang bersangkutan tidak menentukan lain."
bab 2 - syarat syarat perkawinan,pasal 11,"Pasal 11 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Bagi seorang wanita yang putus perkawinannya berlaku jangka waktu tunggu.
ayat (2) Tenggang waktu jangka waktu tunggu tersebut ayat (1) akan diatur dalam Peraturan Pemerintah lebih lanjut."
bab 2 - syarat syarat perkawinan,pasal 12,"Pasal 12 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Tata-cara pelaksanaan perkawinan diatur dalam peraturan perundangundangan tersendiri."
bab 3 - pencegahan perkawinan,pasal 13,"Pasal 13 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Perkawinan dapat dicegah, apabila ada pihak yang tidak memenuhi syarat-syarat untuk melangsungkan perkawinan."
bab 3 - pencegahan perkawinan,pasal 14,"Pasal 14 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Yang dapat mencegah perkawinan ialah para keluarga dalam garis keturunan lurus keatas dan kebawah, saudara, wali nikah, wali, pengampu dari salah seorang calon mempelai dan pihak-pihak yang berkepentingan.
ayat (2) Mereka yang tersebut pada ayat (1) pasal ini berhak juga mencegah berlangsungnya perkawinan apabila salah seorang dari calon mempelai berada di bawah pengampuan, sehingga dengan perkawinan tersebut nyata-nyata mengakibatkan kesengsaraan bagi calon mempelai yang lainnya, yang mempunyai hubungan dengan orang-orang seperti tersebut dalam ayat (1) pasal ini.

"
bab 3 - pencegahan perkawinan,pasal 15,"Pasal 15 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Barang siapa karena perkawinan dirinya masih terikat dengan salah satu dari kedua belah pihak dan atas dasar masih adanya perkawinan, dapat mencegah perkawinan yang baru, dengan tidak mengurangi ketentuan Pasal 3 ayat (2) dan Pasal 4 Undang-undang ini."
bab 3 - pencegahan perkawinan,pasal 16,"Pasal 16 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat(1) Pejabat yang ditunjuk berkewajiban mencegah berlangsungnya perkawinan apabila ketentuan-ketentuan dalam Pasal 7 ayat (1), Pasal 8, Pasal 9, Pasal 10 dan Pasal 12 Undang-undang ini tidak dipenuhi.
ayat (2) Mengenai Pejabat yang ditunjuk sebagaimana tersebut pada ayat (1) pasal ini diatur lebih lanjut dalam peraturan perundang-undangan."
bab 3 - pencegahan perkawinan,pasal 17,"Pasal 17 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Pencegahan perkawinan diajukan kepada Pengadilan dalam daerah hukum dimana perkawinan akan dilangsungkan dengan memberitahukan juga kepada pegawai pencatat perkawinan.
ayat (2) Kepada calon-calon mempelai diberi tahukan mengenai permohonan pencegahan perkawinan dimaksud dalam ayat (1) pasal ini oleh pegawai pencatat perkawinan.
"
bab 3 - pencegahan perkawinan,pasal 18,"Pasal 18 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Pencegahan perkawinan dapat dicabut dengan putusan Pengadilan atau dengan menarik kembali permohonan pencegahan pada Pengadilan oleh yang mencegah."
bab 3 - pencegahan perkawinan,pasal 19 ,"Pasal 19 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Perkawinan tidak dapat dilangsungkan apabila pencegahan belum dicabut."
bab 3 - pencegahan perkawinan,pasal 20,"Pasal 20 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
Pegawai pencatat perkawinan tidak diperbolehkan melangsungkan atau membantu melangsungkan perkawinan bila ia mengetahui adanya pelanggaran dari ketentuan dalam Pasal 7 ayat (1), Pasal 8, Pasal 9, Pasal 10 dan Pasal 12 Undang-undang ini meskipun tidak ada pencegahan perkawinan.
"
bab 3 - pencegahan perkawinan,pasal 21,"Pasal 21 Undang-Undang Nomor 1 Tahun 1974 Tentang Perkawinan:
ayat (1) Jika pegawai pencatat perkawinan berpendapat bahwa terhadap perkawinan tersebut ada larangan menurut Undang-undang ini, maka ia akan menolak melangsungkan perkawinan.
ayat (2) Didalam hal penolakan, maka permintaan salah satu pihak yang ingin melangsungkan perkawinan. oleh pegawai pencatat perkawinan akan diberikan suatu keterangan tertulis dari penolakan tersebut disertai dengan alasan-alasan penolakannya.
ayat (3) Para pihak yang perkawinannya ditolak berhak mengajukan permohonan kepada pengadilan didalam wilayah mana pegawai pencatat perkawinan yang mengadakan penolakan berkedudukan untuk memberikan keputusan, dengan menyerahkan surat keterangan penolakan tersebut diatas.
ayat (4) Pengadilan akan memeriksa perkaranya dengan acara singkat dan akan memberikan ketetapan, apakah ia akan menguatkan penolakan tersebut ataukah memerintahkan, agar supaya perkawinan dilangsungkan.
ayat (5) Ketetapan ini hilang kekuatannya, jika rintangan-rintangan yang mengakibatkan penolakan tersebut hilang dan para pihak yang ingin kawin dapat mengulangi pemberitahuan tentang maksud mereka."
